   | 0 | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 |
--------------------------------------------
 0 |   |   |   |   |   |   |   |   |   |   |
 1 |   |   |   |   |   | X |   |   |   | X |
 2 |   |   |   |   |   |   |   |   |   |   |
 3 |   |   |   |   |   |   |   |   | X |   |
 4 | X |   |   |   |   |   |   |   | X |   |
 5 | X |   |   |   |   |   |   |   |   |   |
 6 |   |   | X | X |   |   |   |   |   |   |
 7 |   |   | X | X |   |   |   |   |   |   |
 8 |   |   | X | X | X | X | X |   |   |   |
 9 |   |   |   |   | X |   | X |   |   |   |

